\HA01KHI KMB 0420210205521     0000                                          0000
L1KMB-COM-14AB        AKA  KMB  2021-04-222021-06-01MOL SUCCESS                   SKMB-104021
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005AAZU53044-0643          00000800000000001360000BRLFOB              0000000007000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005AAZV53044-0660          00000400000000001780000BRLFOB              0000000006000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005AAZW53044-0662          00000400000000001110000BRLFOB              0000000028000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABAB54010-0029          00000200000000002340000BRLFOB              0000000250000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABAM55028-0688          00000050000000012510000BRLFOB              0000001745100
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABAO55028-0688          00000050000000012510000BRLFOB              0000001745100
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABBQ550AA2015           00000200000000000030000BRLFOB              0000000003800
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABBR550AA4040           00000200000000000150000BRLFOB              0000000039400
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABBS551A0408            00000400000000000090000BRLFOB              0000000007600
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABBT551A0814            00000400000000000320000BRLFOB              0000000053900
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABBZ56030-0356          00000200000000000630000BRLFOB              0000000005400
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABCA56033-1432          00000200000000000510000BRLFOB              0000000006700
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABCB56053-1607          00000200000000001430000BRLFOB              0000000012300
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABCC56054-1548          00000200000000004390000BRLFOB              0000000095200
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABCD56054-1549          00000200000000004390000BRLFOB              0000000021000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABCE56054-1710          00000200000000004390000BRLFOB              0000000008400
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABCF56054-1711          00000200000000004390000BRLFOB              0000000082100
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABCG56054-1712          00000200000000004390000BRLFOB              0000000021200
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABCH56054-1713          00000200000000004390000BRLFOB              0000000008300
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABCI56071-0813          00000200000000001080000BRLFOB              0000000007700
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABCJ56071-0838          00000200000000000970000BRLFOB              0000000006600
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABCK56071-0862          00000200000000001130000BRLFOB              0000000008300
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABCL59026-0043          00000200000000021050000BRLFOB              0000000761200
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABCM59051-0762          00000200000000017260000BRLFOB              0000001716000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABCN59256-0555          00000200000000006420000BRLFOB              0000000320000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABCP610A0410            00000200000000000100000BRLFOB              0000000009700
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABCQ670B2020            00000200000000000110000BRLFOB              0000000003900
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABCR670D1505            00000600000000000150000BRLFOB              0000000001000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABCS670D1509            00000200000000000160000BRLFOB              0000000001500
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABCT670D2014            00000600000000000340000BRLFOB              0000000003000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABCY92005-0721          00000200000000001220000BRLFOB              0000000008500
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABDC92009-1113          00001200000000000190000BRLFOB              0000000049300
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABDD92009-1197          00000400000000000080000BRLFOB              0000000028700
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABDE92009-1984          00001200000000000090000BRLFOB              0000000026800
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABDF92015-1094          00000400000000000360000BRLFOB              0000000079700
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABDI92015-1191          00000600000000000220000BRLFOB              0000000021000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABDL92015-1555          00000200000000001410000BRLFOB              0000000332600
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABDM92015-1717          00000800000000001190000BRLFOB              0000000139000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABDN92015-1757          00004000000000000830000BRLFOB              0000000021200
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABDO92022-077           00000200000000000080000BRLFOB              0000000002000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABDT92022-1521          00001200000000000080000BRLFOB              0000000001400
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABDU92022-1868          00000200000000001560000BRLFOB              0000000162200
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABDV92022-2247          00000400000000000080000BRLFOB              0000000021000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABDW92022-289           00000200000000001080000BRLFOB              0000000170000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABDX92022-312           00000400000000000350000BRLFOB              0000000032500
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABDZ92025-1137          00000200000000001150000BRLFOB              0000000038100
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABEA92026-0082          00000400000000003310000BRLFOB              0000000147000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABEB92026-1497          00000200000000002470000BRLFOB              0000000403500
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABEC92027-153           00000800000000000420000BRLFOB              0000000052000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABEF92028-1558          00000200000000001040000BRLFOB              0000000065000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABEK92037-147           00000200000000000250000BRLFOB              0000000004800
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABEL92037-1505          00000200000000000230000BRLFOB              0000000014400
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABEM92037-1712          00001400000000000220000BRLFOB              0000000004600
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABEN92037-1903          00000200000000000670000BRLFOB              0000000008100
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABEO92037-2014          00000200000000000510000BRLFOB              0000000078600
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABEP92037-2116          00000200000000000180000BRLFOB              0000000007000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABER92039-0068          00002600000000000410000BRLFOB              0000000005000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABES92039-0086          00000200000000000550000BRLFOB              0000000010000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABEU92042-030           00000200000000000130000BRLFOB              0000000013300
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABEV92043-0742          00000400000000000500000BRLFOB              0000000083000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABFB92043-1690          00000400000000000180000BRLFOB              0000000034800
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABFJ92046-1273          00000600000000005430000BRLFOB              0000000339300
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABFK92048-0018          00000200000000021670000BRLFOB              0000002300000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABFN92049-0022          00000200000000001560000BRLFOB              0000000073100
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABFO92049-0742          00000200000000003520000BRLFOB              0000000151000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABFP92049-0798          00000200000000001580000BRLFOB              0000000010000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABFS92049-1352          00000200000000001240000BRLFOB              0000000061300
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABFT92049-1474          00000200000000002600000BRLFOB              0000000200000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABFU92049-1520          00000200000000001170000BRLFOB              0000000028500
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABFV92049-2204          00000200000000001040000BRLFOB              0000000030000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABFW92055-0114          00000400000000000540000BRLFOB              0000000003800
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABFX92055-0186          00000800000000001500000BRLFOB              0000000003800
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABFY92055-0199          00000200000000002810000BRLFOB              0000000007000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABFZ92055-0739          00000200000000000990000BRLFOB              0000000003100
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABGA92055-0785          00001200000000001070000BRLFOB              0000000024300
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABGB92055-0831          00000200000000000580000BRLFOB              0000000010600
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABGC92055-086           00000200000000000180000BRLFOB              0000000002300
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABGD92055-0912          00000200000000001610000BRLFOB              0000000016200
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABGE92055-1503          00000200000000001950000BRLFOB              0000000038200
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABGF92055-1571          00000200000000001860000BRLFOB              0000000015300
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABGG92055-3018          00000200000000000630000BRLFOB              0000000011000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABGJ92065-097           00000200000000000120000BRLFOB              0000000014600
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABGK92066-0032          00000200000000001060000BRLFOB              0000000071000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABGL92066-0071          00000200000000000240000BRLFOB              0000000010000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABGM92066-0079          00000200000000000710000BRLFOB              0000000285700
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABGN92066-0836          00000200000000000900000BRLFOB              0000000116000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABGO92066-0919          00000800000000001860000BRLFOB              0000000051200
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABGQ92066-1216          00000800000000000050000BRLFOB              0000000002100
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABGS92071-1043          00000800000000000310000BRLFOB              0000000028800
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABGT92071-1131          00000240000000000360000BRLFOB              0000000038600
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABGU92071-1131          00000160000000000360000BRLFOB              0000000038600
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABGV92071-1187          00000200000000000380000BRLFOB              0000000028000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABGW92072-1294          00000200000000001070000BRLFOB              0000000069100
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABGX92075-039           00000800000000000340000BRLFOB              0000000078000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABGY92075-051           00001200000000000170000BRLFOB              0000000014200
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABGZ92075-1123          00000400000000000250000BRLFOB              0000000038000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABHA92075-1634  1U      00000800000000000040000BRLFOB              0000000012800
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABHB92075-1690          00000400000000000280000BRLFOB              0000000050000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABHC92075-1737          00000200000000000830000BRLFOB              0000000174200
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABHD92075-1912          00000400000000000330000BRLFOB              0000000011400
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABHE92075-277           00000600000000000130000BRLFOB              0000000031000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABHF92081-1833          00000200000000000830000BRLFOB              0000000166000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABHG92092-1018          00000400000000002540000BRLFOB              0000000160000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABHH92092-1081          00000400000000010760000BRLFOB              0000000280000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABHI92092-1087          00000400000000003600000BRLFOB              0000000288800
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABHJ92093-1030          00000200000000000890000BRLFOB              0000000002500
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABHM92143-1087          00000200000000000160000BRLFOB              0000000010000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABHO92143-1595          00000200000000000920000BRLFOB              0000000040000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABHP92145-0360          00000400000000000530000BRLFOB              0000000040000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABHQ92145-0562          00000200000000002440000BRLFOB              0000000245900
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABHS92145-1319          00000400000000000200000BRLFOB              0000000009700
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABHT92145-1550          00000200000000003500000BRLFOB              0000000487400
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABHU92145-1770          00000200000000000500000BRLFOB              0000000021900
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABHV92145-1872          00000200000000001810000BRLFOB              0000000057300
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABHW92150-1114          00000400000000001370000BRLFOB              0000000120000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABHX92150-1481          00000600000000000210000BRLFOB              0000000083800
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABIB92151-1438          00000200000000000460000BRLFOB              0000000081400
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABID92151-1605          00000400000000000340000BRLFOB              0000000086300
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABIE92151-1654          00001200000000000260000BRLFOB              0000000059500
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABIH92151-1930          00001000000000000280000BRLFOB              0000000066800
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABIN92152-0423          00000400000000000450000BRLFOB              0000000051300
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABIR92152-0666          00000400000000000620000BRLFOB              0000000081200
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABIS92152-0667          00000400000000000740000BRLFOB              0000000081000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABIT92152-0679          00000800000000001860000BRLFOB              0000000020000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABIU92152-0718          00000400000000000720000BRLFOB              0000000020000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABJB92152-1383          00000200000000001130000BRLFOB              0000000140000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABJC92152-1511          00000800000000000830000BRLFOB              0000000032400
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABJD92152-1594          00001200000000001350000BRLFOB              0000000149000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABJE92152-1625          00000400000000002070000BRLFOB              0000000035200
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABJF92152-1828          00000200000000003310000BRLFOB              0000000155800
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABJG92152-1847          00000400000000001490000BRLFOB              0000000070000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABJH92152-1906          00000400000000001820000BRLFOB              0000000100000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABJJ92152-1931          00000200000000000480000BRLFOB              0000000044600
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABJK92152-2331          00000400000000001760000BRLFOB              0000000090000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABJL92152-2509          00000800000000001600000BRLFOB              0000000034000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABJM92152-2512          00000400000000002050000BRLFOB              0000000025000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABJN92152-2513          00000200000000002790000BRLFOB              0000000066000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABJO92152-2514          00000800000000001880000BRLFOB              0000000022400
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABJP92152-2515          00000400000000002470000BRLFOB              0000000100800
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABJT92153-0419          00000400000000000830000BRLFOB              0000000144100
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABKA92153-0967          00000400000000000750000BRLFOB              0000000040900
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABKB92153-1273          00000200000000001550000BRLFOB              0000000107900
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABKC92153-1407          00000400000000001100000BRLFOB              0000000216000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABKD92153-1423          00000400000000000180000BRLFOB              0000000082500
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABKF92153-1526          00001200000000000290000BRLFOB              0000000062900
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABKG92153-1637          00000400000000000630000BRLFOB              0000000152000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABKH92153-1768          00000800000000000560000BRLFOB              0000000144000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABKL92153-1904          00000800000000001320000BRLFOB              0000000260000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABKP92154-0209          00004800000000000210000BRLFOB              0000000033100
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABKQ92154-0210          00000400000000000230000BRLFOB              0000000037900
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABLB92154-0484          00000400000000000400000BRLFOB              0000000056000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABLC92154-0551          00000400000000000210000BRLFOB              0000000060000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABLE92154-0774          00000200000000000170000BRLFOB              0000000052900
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABLF92154-0787          00000400000000000540000BRLFOB              0000000071800
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABLH92154-0890          00000600000000002090000BRLFOB              0000000518000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABLJ92154-0903          00000200000000001390000BRLFOB              0000000420000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABLL92154-0917          00000400000000000220000BRLFOB              0000000028600
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABLM92154-1001          00000400000000000780000BRLFOB              0000000197300
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABLN92154-1421          00000800000000000210000BRLFOB              0000000028700
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABLO92154-1454          00000800000000000270000BRLFOB              0000000046800
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABLR92154-1703          00001200000000003490000BRLFOB              0000000242400
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABLU92154-1838          00000200000000001220000BRLFOB              0000000158200
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABLW92154-1857          00000400000000000280000BRLFOB              0000000085300
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABMK92154-2448          00001200000000000210000BRLFOB              0000000036200
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABMN92154-2642          00000200000000001940000BRLFOB              0000000471000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABMQ92154-2822          00000200000000009220000BRLFOB              0000000474500
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABMR92154-2914          00000200000000000440000BRLFOB              0000000041800
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABMT92154-3820          00000800000000000260000BRLFOB              0000000041600
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABMU92154-3825          00000200000000006230000BRLFOB              0000000300800
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABMV92154-3826          00000400000000000860000BRLFOB              0000000275200
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABMW92154-3834          00000200000000007010000BRLFOB              0000000144000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABMX92154-4003          00000800000000000270000BRLFOB              0000000037000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABMY92154-4006          00000800000000000420000BRLFOB              0000000053600
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABMZ92160-1141          00000400000000000340000BRLFOB              0000000029300
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABNA92160-1162          00000200000000000400000BRLFOB              0000000056000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABNB92160-1167          00002200000000000400000BRLFOB              0000000026600
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABNC92161-0070          00000200000000000720000BRLFOB              0000000037000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABND92161-0117          00000400000000000240000BRLFOB              0000000011000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABNE92161-0118          00000200000000000420000BRLFOB              0000000022000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABNF92161-0163          00000400000000000990000BRLFOB              0000000046000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABNG92161-0183          00000400000000000870000BRLFOB              0000000027400
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABNI92161-0306          00000600000000001380000BRLFOB              0000000014000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABNJ92161-0516          00000200000000004640000BRLFOB              0000000050000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABNK92161-0801          00000400000000006880000BRLFOB              0000000940000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABNL92161-1000          00002400000000000730000BRLFOB              0000000061000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABNM92161-1055          00000800000000001950000BRLFOB              0000000020000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABNN92161-1084          00000400000000000330000BRLFOB              0000000010000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABNO92161-1330          00000400000000001120000BRLFOB              0000000161000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABNP92161-1531          00003400000000000460000BRLFOB              0000000010000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABNQ92161-1531          00000600000000000460000BRLFOB              0000000010000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABNR92161-1592          00000800000000000610000BRLFOB              0000000013800
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABNS92161-1673          00000200000000000430000BRLFOB              0000000003200
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABNT92161-1687          00000800000000000840000BRLFOB              0000000046000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABNU92161-1723          00000800000000000550000BRLFOB              0000000005000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABNV92161-1885          00000400000000001550000BRLFOB              0000000040900
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABNW92161-1938          00000800000000000610000BRLFOB              0000000009700
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABNX92161-2137          00000200000000006150000BRLFOB              0000000829000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABNY92161-2138          00000400000000001940000BRLFOB              0000000175600
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABNZ92161-2139          00000600000000000570000BRLFOB              0000000029400
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABOB92161-2154          00000200000000002700000BRLFOB              0000000144000
L4KMB-15W-005         KMB-15W-005    KMB-15W-005044 KMB-15W-005ABOC92161-2389          00000200000000000840000BRLFOB              0000000078000
